keys,transactionSize,rangeSize,communities,rangeLocked,communityLocked
100000,10,20,20,35000,15101
100000,10,25,25,32000,4052
100000,10,30,30,29997,10020
100000,10,10,10,70000,30097
100000,10,15,15,53328,19779
100000,10,20,20,40000,5035
100000,10,25,25,28000,8122
100000,10,30,30,33330,10116
100000,10,10,10,50000,30044
100000,10,15,15,46662,13209
100000,10,20,20,30000,4877
100000,10,25,25,36000,16046
100000,10,30,30,29997,6589
100000,10,10,10,50000,10135
100000,10,15,15,33330,46582
100000,10,20,20,35000,15007
100000,10,25,25,28000,4063
100000,10,30,30,33330,9909
100000,10,10,10,80000,19911
100000,10,15,15,53328,19867
100000,10,20,20,45000,20020
100000,10,25,25,36000,12062
100000,10,30,30,26664,6670
100000,10,10,10,60000,29486
100000,10,15,15,59994,33301
100000,10,20,20,30000,9917
100000,10,25,25,40000,16070
100000,10,30,30,29997,3244
100000,10,10,10,70000,29946
100000,10,15,15,53328,13197
100000,10,20,20,40000,10097
100000,10,25,25,36000,11824
100000,10,30,30,33330,3309
100000,10,10,10,60000,29889
100000,10,15,15,46662,13437
100000,10,20,20,40000,9982
100000,10,25,25,36000,12004
100000,10,30,30,29997,9982
100000,10,10,10,60000,40272
100000,10,15,15,59994,19960
100000,10,20,20,30000,4955
100000,10,25,25,28000,7990
100000,10,30,30,33330,13377
100000,10,10,10,70000,30275
100000,10,15,15,46662,20090
100000,10,20,20,40000,9926
100000,10,25,25,36000,8006
100000,10,30,30,29997,6727
100000,10,10,10,70000,20091
100000,10,15,15,53328,13356
100000,10,20,20,40000,5046
100000,10,25,25,32000,7912
100000,10,30,30,33330,6660
100000,10,10,10,60000,19964
100000,10,15,15,53328,13445
100000,10,20,20,45000,10058
100000,10,25,25,40000,12202
100000,10,30,30,26664,10031
100000,10,10,10,60000,40193
100000,10,15,15,46662,20000
100000,10,20,20,30000,9931
100000,10,25,25,36000,7997
100000,10,30,30,26664,6626
100000,10,10,10,70000,10097
100000,10,15,15,46662,6652
100000,10,20,20,40000,10109
100000,10,25,25,36000,8062
100000,10,30,30,26664,6639
100000,10,10,10,70000,19991
100000,10,15,15,53328,6652
100000,10,20,20,45000,4905
100000,10,25,25,28000,8089
100000,10,30,30,29997,6640
100000,10,10,10,60000,29714
100000,10,15,15,39996,6794
100000,10,20,20,40000,15155
100000,10,25,25,36000,4078
100000,10,30,30,26664,3334
100000,10,10,10,70000,10014
100000,10,15,15,46662,20005
100000,10,20,20,45000,5017
100000,10,25,25,28000,11950
100000,10,30,30,29997,6597
100000,10,10,10,80000,29737
100000,10,15,15,53328,13236
100000,10,20,20,35000,10059
100000,10,25,25,28000,4051
100000,10,30,30,26664,6699
100000,10,10,10,80000,9964
100000,10,15,15,53328,20107
100000,10,20,20,40000,15207
100000,10,25,25,40000,8184
100000,10,30,30,26664,3317
100000,10,10,10,60000,9958
